words,parts,lemma,pos,feats,deps,head,,
%,очередь,ОЧЕРЕДЬ,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,fixed,2,,
##,,,,,,,,
в противном случае,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,cc,0,,
%,противном,ПРОТИВНЫЙ,ADJ,Case=Loc|Degree=Pos|Gender=Masc|Number=Sing,fixed,1,,
%,случае,СЛУЧАЙ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,2,,
##,,,,,,,,
в противном случае,CCONJ,,,,,,,
%,В,В,ADP,_,cc,0,,
%,противном,ПРОТИВНЫЙ,ADJ,Case=Loc|Degree=Pos|Gender=Masc|Number=Sing,fixed,1,,
%,случае,СЛУЧАЙ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,2,,
##,,,,,,,,
в розницу,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,advmod,0,,
%,розницу,РОЗНИЦА,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
в связи с,ADP,,,,,,,
%,в,В,ADP,_,case,0,,
%,связи,СВЯЗЬ,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,fixed,1,,
%,с,С,ADP,_,fixed,2,,
##,,,,,,,,
в случае если,SCONJ,,,,,,,
%,в,В,ADP,_,mark,0,,
%,случае,СЛУЧАЙ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,1,,
%,если,ЕСЛИ,SCONJ,_,fixed,2,,
##,,,,,,,,
в случае, если,CONJ,,,,,,
%,в,В,ADP,_,mark,-1,,
%,случае,СЛУЧАЙ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,0,,
%,|,|,PUNCT,_,punct,0,,
%,если,ЕСЛИ,SCONJ,_,fixed,0,,
##,,,,,,,,
в соответствии с,ADP,,,,,,,
%,в,В,ADP,_,case,0,,
%,соответствии,СООТВЕТСТВИЕ,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,fixed,1,,
%,с,С,ADP,_,fixed,2,,
##,,,,,,,,
в состоянии,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,%,,,
%,состоянии,СОСТОЯНИЕ,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,fixed,,,
##,,,,,,,,
в течение,ADP,,,,,,,
%,в,В,ADP,_,case,0,,
%,течение,ТЕЧЕНИЕ,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,fixed,1,,
##,,,,,,,,
в то время как,SCONJ,,,,,,,
%,в,В,ADP,_,cc,0,,
%,то,ТОТ,DET,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,fixed,1,,
%,время,ВРЕМЯ,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,fixed,2,,
%,как,КАК,SCONJ,_,fixed,3,,
##,,,,,,,,
в том числе,PART,,,,,,,
%,в,В,ADP,_,case,-2,,
%,том,ТОТ,DET,Case=Loc|Gender=Neut|Number=Sing,det,-1,,
%,числе,ЧИСЛО,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,nmod,0,,
##,,,,,,,,
в угоду,ADP,,,,,,,
%,в,В,ADP,_,case,0,,
%,угоду,УГОДА,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
в ходе,ADP,,,,,,,
%,в,В,ADP,_,case,0,,
%,ходе,ХОД,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
в частности,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,discourse,0,,
%,частности,ЧАСТНОСТЬ,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
во время,ADP,,,,,,,
%,во,ВО,ADP,_,case,0,,
%,время,ВРЕМЯ,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,fixed,1,,
##,,,,,,,,
во главе,ADV Degree=Pos,,,,,,,
%,во,ВО,ADP,_,case,0,,
%,главе,ГЛАВА,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
во избежание,ADP,,,,,,,
%,во,ВО,ADP,_,case,0,,
%,избежание,ИЗБЕЖАНИЕ,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,fixed,1,,
##,,,,,,,,
во что бы то ни стало,ADV Degree=Pos,,,,,,,
%,во,ВО,ADP,_,advmod,-5,,
%,что,ЧТО,PRON,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,fixed,1,,
%,бы,БЫ,PART,_,fixed,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,стало,СТАТЬ,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,0,,
##,,,,,,,,
вплоть до,ADP,,,,,,,
%,вплоть,ВПЛОТЬ,ADV,Degree=Pos,case,0,,
%,до,ДО,ADP,_,fixed,1,,
##,,,,,,,,
вряд ли,ADV Degree=Pos,,,,,,,
%,вряд,ВРЯД,ADV,Degree=Pos,advmod,0,,
%,ли,ЛИ,PART,_,fixed,1,,
##,,,,,,,,
все же,PART,,,,,,,
%,все,ВСЕ,PART,_,advmod,0,,
%,же,ЖЕ,PART,_,fixed,1,,
##,,,,,,,,
всё же,PART,,,,,,,
%,всё,ВСЁ,PART,_,advmod,0,,
%,же,ЖЕ,PART,_,fixed,1,,
##,,,,,,,,
все равно,ADV Degree=Pos,,,,,,,
